service_type,department,division,position_number,job_title,total_pay,city,state
Education,Cambridge Public Schools,Upper School Education,00004387,Teacher/Behavioral Specialist,129374,Cambridge,MA
Human Resource Development,Human Services,Elderly Services & Council on Aging,M797-701,Div Head/COA,128719,Cambridge,MA
General Government,Election Commission,Administration,M056-701,Exec Dir/Election,128719,Cambridge,MA
Community Maintenance and Development,Community Development,Community Planning,M579-701,Dir/Community Planning,128719,Cambridge,MA
Community Maintenance and Development,Community Development,Zoning and Development,M601-701,Director of Zoning,128719,Cambridge,MA
Human Resource Development,Human Services,Youth Programs,M699-701,Div Head/Yth Prgm,128719,Cambridge,MA
Community Maintenance and Development,Historical Commission,Administration,M061-701,Exec Dir/Historical Comm,128719,Cambridge,MA
Human Resource Development,Human Services,Recreation,M450-701,Div Head/Recreation,128719,Cambridge,MA
Human Resource Development,Human Services,Planning and Development,M678-001,Div. Head/Homelessness & Housing Stability,128719,Cambridge,MA
Human Resource Development,Human Services,Office of Workforce Development,M361-701,Div Head/Workforce Develp,128719,Cambridge,MA
Human Resource Development,Veterans' Services,Administration & Benefits,O075-001,Director/Veterans Services,128719,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",M677-001,Div. Head/Fiscal & Personnel,128719,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",M679-001,Div. Head/Comm Engmnt & Family Support,128719,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Administration,M120-701,Fiscal and  Admin. Mgr/Traffic,128719,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",M676-001,Asst. Director/Strategy,128719,Cambridge,MA
Public Safety,Community Safety,Administration,M650-001,Director of Community Safety,128719,Cambridge,MA
Human Resource Development,Human Services,Community Learning Center,M442-701,Div Head/CLC,128719,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,M224-702,Manager/ISD Operations,128719,Cambridge,MA
Human Resource Development,Human Services,Community Schools,M426-701,Div Head/Comm & Youth,128719,Cambridge,MA
Community Maintenance and Development,Community Development,Economic Opportunity and Development,M587-701,Dir/Economic Development,128719,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,M472-701,Div Head/Childcare Fam Sv,128719,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",M451-701,Steam Coordinator,128719,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005424,Assistant Principal,128587,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00004837,Assistant Director VPA,128587,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005421,Assistant Principal,128587,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004826,Assistant Principal,128587,Cambridge,MA
Education,Cambridge Public Schools,Operations,00005291,Senior Database Administrator,127949,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000644,Teacher,127778,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004336,Teacher,127778,Cambridge,MA
General Government,Executive,Leadership,M315-001,Strategy Manager,127207,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005623,Speech/Language Pathologist,126321,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000999,Occupational Therapist,126320,Cambridge,MA
Community Maintenance and Development,Water,Transmission & Distribution,M241-001,Dir for Distribution & Eng Op.,125948,Cambridge,MA
General Government,Finance,Budget,M508-701,Deputy Director/Budget,125948,Cambridge,MA
General Government,Finance,Auditing,M002-702,Asst. City Auditor,125948,Cambridge,MA
General Government,Finance,Assessing,M418-701,Mngr. of Assessing Operations,125948,Cambridge,MA
General Government,Executive,Leadership,M348-701,Asst.to City Mgr/Com.Rel/Strg,125948,Cambridge,MA
Community Maintenance and Development,Water,Administration,M187-701,Dir for Administration,125948,Cambridge,MA
Human Resource Development,Library,Main Library,M405-701,Manager of Finance and Oper.,125948,Cambridge,MA
General Government,Finance,Treasury,M132-701,Director of Payroll,125948,Cambridge,MA
Public Safety,Police,Procedural Justice,M276-701,Manager of Data Analytics and Science,125878,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000602,Guidance Counselor,125147,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",M350-701,Evaluation & Learn System Mgr.,125137,Cambridge,MA
Education,Cambridge Public Schools,Operations,00005294,Facilities Tech and Trades Mgr,125017,Cambridge,MA
Community Maintenance and Development,Capital Building Projects,Administration,M559-001,Senior Capital Project Manager,124854,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004658,Psychologist,124778,Cambridge,MA
General Government,City Council,Administration,M147-710,Executive Asst To City Council,124636,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004670,Teacher,124585,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005054,InstructionalSupportCoach,124547,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001813,Teacher Special Educator,124332,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00008328,Tch-In-Charge,123993,Cambridge,MA
Community Maintenance and Development,Community Development,Community Planning,M352-701,Supervising Landscape Architec,123839,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00000155,Psychologist,123778,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001562,Psychologist,123778,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005613,Psychologist,123778,Cambridge,MA
Public Safety,Emergency Communications,Public Safety IT,M701-702,Network Manager,123658,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00008355,Lead Teacher,123626,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005477,Lead Teacher,123626,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008291,Teacher Special Educator,123411,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005288,Teacher Special Educator,123411,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00001142,Teacher Special Educator,123332,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Street Management,M535-001,Street  Operations manager,123174,Cambridge,MA
Education,Cambridge Public Schools,Operations,00000091,Director Safety and Security,123151,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M429-002,Project Manager/Engineering,123092,Cambridge,MA
General Government,Finance,Information Technology,M142-701,Enterprise Applications Specia,123092,Cambridge,MA
Community Maintenance and Development,Public Works,Conservation Commission,M041-701,Dir/Conservation Comm,123092,Cambridge,MA
Community Maintenance and Development,Public Works,Public Buildings,M080-001,Asst Superintendent of Bldgs,123092,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M043-704,Senior Engineer/CA,123092,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M043-702,Senior Engineer/CA,123092,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M043-706,Senior Engineer/CA,123092,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M043-701,Senior Engineer/CA,123092,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,M043-709,Senior Engineer/CA,123092,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M408-701,Project Manager/DPW,123092,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M043-708,Senior Engineer/CA,123092,Cambridge,MA
General Government,Finance,Information Technology,M165-701,Network Engineer L2,123092,Cambridge,MA
General Government,Finance,Information Technology,M130-702,System Administrator L2,123092,Cambridge,MA
General Government,Finance,Information Technology,M702-702,MIS Project Manager,123092,Cambridge,MA
General Government,Finance,Information Technology,M252-701,Senior Web Developer,123092,Cambridge,MA
Community Maintenance and Development,Public Works,Engineering,M043-703,Senior Engineer/CA,123092,Cambridge,MA
Human Resource Development,Library,Main Library,M419-701,Facilities Manager/Library,123076,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00000997,Tch-In-Charge,122993,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000621,Guidance Counselor,122985,Cambridge,MA
Public Safety,Emergency Communications,Public Safety IT,M706-702,Technical Support Manager,122804,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002257,Physical Therapist,122778,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004463,Speech/Language Pathologist,122778,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004464,Physical Therapist,122778,Cambridge,MA
General Government,Executive,Communications,M265-701,Public Info Officer,122767,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00001639,Psychologist,122684,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005486,Psychologist,122684,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001556,Psychologist,122684,Cambridge,MA
General Government,Finance,Revenue,M057-701,Manager of Revenue & Tres.Oper,122462,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005643,SocialWorker/AdjustmentCounsel,122411,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001819,Occupational Therapist,122411,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004545,Teacher Special Educator,122411,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005639,Teacher Special Educator,122411,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005022,Occupational Therapist,122411,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000615,Teacher Special Educator,122411,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007265,Teacher,122332,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005056,Teacher Special Educator,122044,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000719,Interventionist/Teacher Leader,121898,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000619,Guidance Counselor,121850,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000645,Guidance Counselor,121850,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007169,Physical Therapist,121778,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001432,Physical Therapist,121778,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005094,Teacher Special Educator,121778,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001854,Physical Therapist,121778,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001827,Occupational Therapist,121778,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004327,Occupational Therapist,121778,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007168,Occupational Therapist,121778,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00001439,Psychologist,121684,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005615,Psychologist,121684,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001569,Psychologist,121684,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00007180,Psychologist,121684,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005616,Psychologist,121684,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005619,Psychologist,121684,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00007340,Psychologist,121684,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000500,Teacher,121332,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00005104,Teacher,121332,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000752,Teacher,121332,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001428,Teacher Special Educator,121332,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000549,Teacher,121332,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001530,Teacher Library Media,121332,Cambridge,MA
